,Accrued,height,weight,DOB,Years,original_team_id,draft_year,draft_round,draft_pick,overall,overall_rk,pass,run,receiving,passblock,runblock,passrush,rundefense,coverage,discipline,pass_snaps,receiving_snaps,passblock_snaps,run_snaps,runblock_snaps,rundefense_snaps,passrush_snaps,coverage_snaps,total_snaps,games,Position_34DE,Position_34DT,Position_34OLB,Position_34OlB,Position_43DE,Position_43DT,Position_43OLB,Position_C,Position_CB,Position_DB,Position_DE,Position_DT,Position_FB,Position_G,Position_ILB,Position_K,Position_LB,Position_LG,Position_LS,Position_LT,Position_OG,Position_OLB,Position_OT,Position_P,Position_QB,Position_RB,Position_RG,Position_RT,Position_S,Position_S�,Position_T,Position_TE,Position_WR,Role_Defense,Role_Offense,Role_Special,college_Alabama,college_Auburn,college_California,college_Clemson,college_Florida,college_Florida State,college_Georgia,college_LSU,college_Miami,college_Michigan,college_Michigan State,college_Mississippi,college_Notre Dame,college_Ohio State,college_Oklahoma,college_Oregon,college_Penn State,college_Stanford,college_Tennessee,college_Texas,college_Texas A&M,college_UCLA,college_USC,college_Utah,college_Wisconsin,height_nan,DOB_nan,Years_nan,overall_nan,overall_rk_nan,pass_nan,run_nan,receiving_nan,passblock_nan,runblock_nan,passrush_nan,rundefense_nan,coverage_nan,discipline_nan,pass_snaps_nan,receiving_snaps_nan,passblock_snaps_nan,run_snaps_nan,runblock_snaps_nan,rundefense_snaps_nan,passrush_snaps_nan,coverage_snaps_nan,total_snaps_nan,games_nan,APY_millions
0,2006,75.0,259.0,32.824657534246576,6.0,7,2006,3,-1,79.4,35.0,60.0,60.0,60.0,60.0,60.0,76.4,76.2,70.7,23.5,0.0,0.0,0.0,0.0,0.0,387.0,555.0,180.0,1122.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.733333
4,2009,73.0,214.0,29.32054794520548,4.0,31,2009,1,10,62.8,90.0,60.0,59.9,59.4,60.0,71.8,60.0,60.0,60.0,75.6,0.0,506.0,0.0,1.0,233.0,0.0,0.0,0.0,740.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5
7,2005,76.0,217.0,32.676712328767124,4.0,31,2005,1,1,51.6,41.70265780730897,60.0,60.0,51.9,60.5,64.8,60.0,60.0,60.0,73.8,0.0,55.0,26.0,0.0,176.0,0.0,0.0,0.0,257.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.0
8,2005,69.0,217.0,33.66027397260274,3.0,31,2005,3,65,72.2,21.0,60.0,68.9,59.0,67.0,60.0,60.0,60.0,60.0,12.7,0.0,229.0,121.0,258.0,57.0,0.0,0.0,0.0,665.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0
15,2011,74.0,220.0,29.197260273972603,6.0,7,2011,2,35,81.0,18.0,80.6,67.2,60.0,60.0,60.0,60.0,60.0,60.0,66.9,698.0,0.0,0.0,46.0,457.0,0.0,0.0,0.0,1201.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.0
26,2011,78.0,265.0,29.134246575342466,3.0,2,2011,5,159,68.1,29.0,60.0,60.0,57.6,68.5,77.2,60.0,60.0,60.0,41.6,0.0,86.0,36.0,0.0,220.0,0.0,0.0,0.0,342.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.033333
34,2011,77.0,255.0,28.432876712328767,3.0,13,2011,7,204,67.7,31.0,60.0,60.0,54.7,68.2,76.3,60.0,60.0,60.0,83.4,0.0,94.0,58.0,2.0,280.0,0.0,0.0,0.0,434.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.8
39,2007,78.0,312.0,32.0986301369863,7.0,6,2007,1,3,87.2,8.0,60.0,60.0,60.0,87.3,81.0,60.0,60.0,60.0,87.5,0.0,1.0,549.0,0.0,425.0,0.0,0.0,0.0,975.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.5
40,2008,76.0,315.0,31.797260273972604,4.0,30,2008,3,65,81.5,14.0,60.0,60.0,60.0,77.0,85.6,60.0,60.0,60.0,28.4,0.0,0.0,401.0,0.0,313.0,0.0,0.0,0.0,714.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0925
51,2008,76.0,308.0,30.60821917808219,3.0,28,2008,3,83,80.7,16.0,60.0,60.0,60.0,78.7,73.4,60.0,60.0,60.0,56.9,0.0,0.0,608.0,0.0,438.0,0.0,0.0,0.0,1046.0,16.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.083333
