,player_id_otc,Team,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,contract_type,Accrued,height,weight,DOB,college,original_team_id,draft_year,draft_round,draft_pick,Notes,nfl_player_id,Name,season,player_id_pff,player,pos,overall,overall_rk,pass,run,receiving,passblock,runblock,passrush,rundefense,coverage,discipline,pass_snaps,receiving_snaps,passblock_snaps,run_snaps,runblock_snaps,rundefense_snaps,passrush_snaps,coverage_snaps,total_snaps,games
0,51,49ers,31,43OLB,Defense,6,,2012,2012,40400000,6733333,8500000,1416667,21.0%,17500000,0,7500000,0,0,4250000,600000,0,2018,Active,UFA,2006,6-3,259.0,1984-03-14 00:00:00,Virginia,7,2006,3,-1,"LB Ahmad Brooks restructured his contract with the San Francisco 49ers on July 26, 2014.  Brooks reduced his salary by $3.395 million and converted that money into a prorated signing bonus. Per our information Brooks has an incentive added to his contract in 2014 which will count $450,000 against the salary cap and also has a reporting bonus of $450,000 in 2015. The restructuring saved the 49ers slightly over $2 million in salary cap space.",2507010,Ahmad Brooks,2011.0,2945.0,Ahmad Brooks,ED,79.4,35,60,60,60,60,60,76.4,76.2,70.7,23.5,0.0,0.0,0.0,0.0,0.0,387.0,555.0,180.0,1122.0,18.0
1,53,Vikings,24,LG,Offense,4,,2016,2016,26800000,6700000,10000000,2500000,37.3%,10000000,0,0,0,5000000,0,0,0,2020,Active,UFA,2010,6-8,300.0,1987-05-04 00:00:00,Ohio State,31,2009,0,0,"G Alex Boone renegotiated his contract with the San Francisco 49ers on September 2, 2014. The total contract value is $6 million over two years with another $2 million available in incentives. The incentives are tied to being selected to the Pro Bowl and named first team All-NFL. Boone\'s new contract called for a $400,000 raise in 2014 and a $1.95 million raise in 2015. In addition the team can not use the Franchise tag on Boone when his contract expires in 2016.",71211,Alex Boone,2015.0,5372.0,Alex Boone,G,76.0,33,\N,\N,\N,84.7,48.6,\N,\N,\N,87.8,0.0,0.0,478.0,0.0,307.0,0.0,0.0,0.0,785.0,13.0
2,54,Panthers,26,P,Special,2,42792.0,2017,2017,5000000,2500000,2000000,1000000,40.0%,2000000,0,0,600000,1000000,1100000,200000,200000,2019,Active,Other,2004,6-2,180.0,1982-08-11 00:00:00,Pittsburgh,31,2004,6,188,,2506017,Andy Lee,,,,,,,,,,,,,,,,,,,,,,,,,
3,74,Cowboys,18,C,Offense,2,,2016,2016,1675000,837500,100000,50000,6.0%,100000,0,100000,0,0,0,0,750000,2018,Active,UFA,2012,6-3,315.0,1990-08-31 00:00:00,Wake Forest,31,2012,4,117,"Joe Looney signed a two year, $1.675 million contract with the Dallas Cowboys. Looney received a $100,000 signing bonus. He can earn an additional $750,000 in performance incentives.",2532896,Joe Looney,2015.0,7117.0,Joe Looney,C,39.7,34,\N,\N,\N,36,51.5,\N,\N,\N,86.5,0.0,0.0,279.0,0.0,149.0,0.0,0.0,0.0,428.0,8.0
4,79,Raiders,16,WR,Offense,4,,2015,2016,34000000,8500000,5500000,1375000,16.2%,16750000,11250000,0,0,5500000,2000000,1000000,1200000,2020,Active,Extension,2009,6-1,214.0,1987-09-14 00:00:00,Texas Tech,31,2009,1,10,"Michael Crabtree signed a four year, $34 million contract extension with the Oakland Raiders on December 9, 2015.  Crabtree receved $16.75 million in guarantees, $5.5 million of which is fully guaranteed upon signing. If he is on the Raiders roster on the 3rd day of the 2016 and 2017 league years his salaries will become fully guaranteed for that season. He can earn yearly $500,000 in gameday active roster bonuses. Crabtree can earn up to $1.2 million in additional incentives. Crabtree received no signing bonus so there are no changes to his 2015 salary cap number.",71269,Michael Crabtree,2014.0,4933.0,Michael Crabtree,WR,62.8,90,60,59.9,59.4,60,71.8,60,60,60,75.6,0.0,506.0,0.0,1.0,233.0,0.0,0.0,0.0,740.0,16.0
5,82,49ers,31,ILB,Defense,4,,2016,2019,42000000,10500000,9250000,212500,22.0%,15300000,6050000,3400000,6050000,0,8000000,0,2000000,2023,Active,Extension,2010,6-0,242.0,1988-05-28 00:00:00,Penn State,31,2010,3,91,"On May 21, 2014 Bowman converted $3.27 million of base salary into a signing bonus to create $2.616 million of cap room in 2014.",2508088,NaVorro Bowman,2015.0,5615.0,NaVorro Bowman,LB,67.0,46,\N,\N,\N,\N,\N,62.8,82.3,40.3,42.0,0.0,0.0,0.0,0.0,0.0,500.0,125.0,501.0,1126.0,16.0
6,83,Ravens,5,RB,Offense,3,42806.0,2017,2017,8800000,2933333,3250000,1083333,36.9%,4250000,0,2250000,0,0,0,0,0,2020,Active,UFA,2009,5-8,200.0,1985-01-25 00:00:00,Chadron State,4,2008,0,0,"Danny Woodhead signed a three year, $8.8 million contract with the Ravens. Woodhead received $3.25 million fully guaranteed including a $2.25 million signing bonus.",4327,Danny Woodhead,2015.0,4914.0,Danny Woodhead,HB,71.0,32,\N,62.3,89.1,37.7,\N,\N,\N,\N,85.4,0.0,432.0,47.0,100.0,35.0,0.0,0.0,0.0,614.0,16.0
7,784,Chiefs,14,QB,Offense,4,,2014,2015,68000000,17000000,19000000,4750000,27.9%,45000000,26000000,18000000,0,4000000,0,1200000,0,2019,Active,Extension,2005,6-4,217.0,1984-05-07 00:00:00,Utah,31,2005,1,1,"QB Alex Smith signed a 4 year contract extension with the Kansas City Chiefs on September 2, 2014. Smith received $19 million fully guaranteed upon signing, made up of his $1 million salary and an $18 million signing bonus. Smith\'s 2015 and 2016 base salaries are guaranteed for injury and will become fully guaranteed on the 3rd day of the 2015 League Year. Smith has roster bonuses worth $2 million in 2017 and 2018. Smith had one year remaining on his contract, valued at $7.5 million, when he signed the extension.",2506340,Alex Smith,2013.0,2288.0,Alex Smith,TE,51.6,\N,60,60,51.9,60.5,64.8,60,60,60,73.8,0.0,55.0,26.0,0.0,176.0,0.0,0.0,0.0,257.0,16.0
8,94,Colts,10,RB,Offense,3,,2015,2015,12000000,4000000,6500000,2166667,54.2%,6500000,0,0,0,7000000,0,0,0,2018,Active,UFA,2005,5-9,217.0,1983-05-14 00:00:00,Miami,31,2005,3,65,"Frank Gore signed a 3 year, $12 million contract with the Colts on March 10, 2015. Gore received $6.5 million in guaranteed money which is tied to his 2015 and 2016 roster bonuses.",2506404,Frank Gore,2014.0,2282.0,Frank Gore,HB,72.2,21,60,68.9,59,67,60,60,60,60,12.7,0.0,229.0,121.0,258.0,57.0,0.0,0.0,0.0,665.0,16.0
9,99,Redskins,20,TE,Offense,3,42801.0,2017,2017,15000000,5000000,7500000,2500000,50.0%,7500000,0,4000000,0,0,500000,0,0,2020,Active,UFA,2006,6-3,250.0,1984-01-31 00:00:00,Maryland,31,2006,1,6,"Vernon Davis signed a three year, $15 million contract with the Redskins on March 7, 2017.  Davis received $7.5 million guaranteed including a $4 million signing bonus. There are $250,000 in per game roster bonuses in 2018 and 2019.",2495826,Vernon Davis,2015.0,2951.0,Vernon Davis,TE,56.6,47,\N,\N,57.1,61.8,55.6,\N,\N,\N,68.6,0.0,371.0,21.0,0.0,259.0,0.0,0.0,0.0,651.0,18.0
